LocationID,census_tract_id,apportion_weight
2,3070203,0.3455648929743891
2,4071600,0.00048175597283450127
2,4107201,0.0028781429521526247
2,4107202,0.6510752081006238
3,2027600,0.00010323027780764179
3,2028400,0.00021216064283758275
3,2029600,7.360064686020771e-07
3,2031000,0.2153879646301203
3,2031200,0.06867060286012956
3,2031400,0.07171420806181937
3,2031600,0.060184193910625974
3,2031800,0.06057832834480838
3,2032400,6.534228049664089e-09
3,2032600,0.11236060567528827
3,2034000,4.286573290520387e-09
3,2034200,0.053268050933627804
3,2034400,0.053347911572177595
3,2034800,0.14873820223340994
3,2035000,0.06521667104800913
3,2035600,7.657462126710174e-06
3,2035800,2.0680219437097702e-10
3,2036000,0.09018042746676591
3,2036400,2.9036055857100542e-05
3,2037000,1.7905165659438466e-09
3,2046205,2.2302112543497083e-17
4,1001002,1.9108271026880903e-07
4,1002000,0.1698938776694071
4,1002201,3.843823672116073e-09
4,1002202,0.07527485487894195
4,1002400,0.22746261933164416
4,1002601,0.14224513042363138
4,1002602,0.1389594868531641
4,1002800,0.2459898461387832
4,1003002,1.5455790217041733e-09
4,1003200,0.00016656278102866832
4,1003400,1.2729278413172503e-10
4,1004400,7.425323993736602e-06
5,5017007,0.31188607681343006
5,5017009,0.22941663241773685
5,5017012,1.1041266040743548e-09
5,5017013,0.1184308067322701
5,5017014,0.1187313391500129
5,5017015,0.09133378197910048
5,5017016,0.12995292804974773
5,5020804,6.568899117019207e-10
5,5020806,2.5409808402151183e-09
5,5022801,0.0002036944092381772
5,5022802,4.4736146466312494e-05
6,5000600,0.000464536944917415
6,5000800,0.0004052872061549286
6,5001800,0.24044659066000235
6,5002001,0.004566174245498759
6,5002002,0.20227480770595838
6,5003600,0.0011286737306473546
6,5004004,0.003056222337552795
6,5005000,0.21943132787172442
6,5006400,0.18646739253114536
6,5007001,0.00023497464244386825
6,5007002,1.106579127769065e-05
6,5007400,0.14140180913430705
6,5009601,0.00011113289460313199
6,5017701,2.6471868661370998e-09
6,5017702,1.6565795925218912e-09
7,4003302,3.2833381198744156e-09
7,4003700,2.579015187765136e-11
7,4003900,1.1150190531807843e-09
7,4004300,4.035311196755741e-09
7,4004500,0.06038202812449499
7,4004700,0.04903226928848668
7,4005100,2.0982180565456663e-09
7,4005300,0.05367894058793024
7,4005500,5.116292068309915e-09
